,viirs_feature,optimal_lag_raw,optimal_corr_raw,optimal_lag_delta,optimal_corr_delta,concurrent_corr_raw,concurrent_corr_delta
0,radiance_mean,10,0.07581473586560958,8,0.04781328180121107,0.00790080406280554,-0.03620301137941272
1,radiance_std,-28,0.2676997568102327,-27,-0.2489455541073227,-0.02975388400724055,-0.02822463947011939
2,pct_clear_sky,-29,0.060843965442153924,-17,-0.11451578501438779,-0.00024127909448732476,0.07136410365747481
3,radiance_p50,10,0.07779420773805029,8,0.05202444047174044,0.01205292118187601,-0.029252739466942953
4,radiance_p90,10,0.07308547427658686,8,0.038584715421994445,0.006413317445591147,-0.03314695140874489
