,equipment_type,optimal_lag,optimal_correlation,concurrent_correlation,lag_type
0,tank,-16,-0.06476846053534331,0.0553296774203888,leading
1,APC,0,0.2207397385368487,0.2207397385368487,concurrent
2,MRL,-10,-0.15427781599183668,-0.07952734624852223,leading
3,aircraft,-28,-0.18208565029873414,-0.12719309272861662,leading
4,helicopter,21,-0.29764148738509466,-0.17835066016183881,lagging
5,drone,-27,0.3337250616074331,0.28910840036373886,leading
6,total_equipment,-27,0.3491547739416381,0.32052879144088237,leading
