,tile,n_observations,date_range,mean_radiance,std_radiance,pct_clear_sky
0,h19v03,980,2022-02-24 to 2024-12-31,2.6437870805640897,2.7941927988731368,1.0837157738095238
1,h19v04,977,2022-02-24 to 2024-12-31,2.830205884971683,2.76342226787563,0.22273026128738765
2,h20v03,981,2022-02-24 to 2024-12-31,2.4324747657570067,3.321917940245991,0.5562938186657607
3,h20v04,978,2022-02-24 to 2024-12-31,2.5355335622647495,2.814898758349489,0.21672153700863436
4,h21v03,981,2022-02-24 to 2024-12-31,3.5625365813326155,4.006181590700018,0.806251132631102
5,h21v04,979,2022-02-24 to 2024-12-31,2.2091300807761893,2.907488492059828,0.595999514101691
