,equipment_type,pearson_r,pearson_p,spearman_r,spearman_p,mutual_info
0,tank,0.05532967742038877,0.03689284772858002,0.07517362453940592,0.004550065050940604,0.029751142220858284
1,APC,0.22073973853684858,3.6480155423390997e-17,0.21027497442229467,1.1019506467665595e-15,0.11268330626649448
2,MRL,-0.07952734624852217,0.002681209762142185,-0.029372995762968913,0.2681672320740147,0.026539118168870335
3,aircraft,-0.12719309272861656,1.4837744693726764e-06,-0.24572182302574233,5.168087011349864e-21,0.052339845692810805
4,helicopter,-0.17835066016183881,1.2324975178498935e-11,-0.34391844077884787,8.797491276707429e-41,0.06289718677936129
5,drone,0.28910840036373897,8.475609288160757e-29,0.6482993549604861,1.8773519723443464e-170,0.4489915318820521
