,equipment_type,partial_r,partial_p,raw_r,reduction
0,tank,0.33556183443756415,0.0,0.05532967742038877,-5.064771194697654
1,APC,0.4869238093646425,0.0,0.22073973853684858,-1.2058729088454179
2,MRL,0.022604677620497914,0.3943426498704017,-0.07952734624852217,0.7157622043437142
3,aircraft,0.0028810947078373077,0.9135601500876109,-0.12719309272861656,0.9773486543666379
4,helicopter,0.033400051717888464,0.20812425631746767,-0.17835066016183881,0.8127281857613904
5,drone,-0.43625850405740385,0.0,0.28910840036373897,-0.5089789966588016
